№ п/п	Инвентарный номер ИП	Дата сделки	Год постройки КС	Количество надземных этажей	Общая площадь помещения, кв.м	Этаж расположения	Количество жилых помещений (комнат), кв.м	Площадь кухни, кв.м	Наличие балкона, лоджии 	Наличие кладовой, гардеробной или других помещений для хранения	Высота потолка	Стеклопакеты в окнонных проемах	Возможность свободной планировки	Горячее водоснабжение	Санузлы	Отопление	Кондиционирование и вентиляция	Общее состояние здания/помещения	Элементы ландшафтного дизайна	Спортивная площадка	Огороженная территория	Количество парковочных мест для автомобилей	Собственная служба эксплуатации, управляющая компания	Консъерж/внутреннее видеонаблюдение	Подземный крытый паркинг (количество мест на парковке, шт.)	Наименование материала стен	"Наименование ""Виды конструкций"""	Территория	Доступность центра	Расстояние от СНП до центра притяжения	Цена, USD/кв.м	Цена за весь объект, USD	Маркер релевантности (1-релевантно, 0-нерелевантно)	номер оценочной зоны	СЗЗ	Пешеходная доступность рекреационой зоны	Маркер релевантности после усреднения	Стоимость Ани на дату сделки
6793	500/D-553515	30.11.2018	1991	9	28.5	3	1	6.6	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1684.21	48000.00	0	Минск3_жм	0	1	0	1503.71
6897	500/D-642398	08.08.2018	2000	10	78.8	7	3	11.7	2 и более	нет	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	1865.48	147000.00	1	Минск4_жм	1	1	1	1444.58
6905	500/D-652234	21.12.2018	2001	10	50.9	10	2	8.9	1	нет	до 2.7			Централизованное		Централизованное										Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1518.66	77300.00	1	Минск5_жм	0	1	1	1316.39
6933	500/D-654668	12.06.2018	2002	16	68	15	2	11.7	1	нет	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1705.88	116000.00	0	Минск9_жм	0	1	0	1331.92
6938	500/D-655839	20.07.2018	2002	13	86	6	3	15.7	2 и более	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1607.87	138276.55	1	Минск9_жм	0	1	1	1310.81
6955	500/D-664734	27.04.2018	2003	15	117.1	12	4	13	2 и более	1	2.7 - 3			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1622.54	190000.00	1	Минск9_жм	0	1	1	1280.01
6980	500/D-674638	24.03.2018	2004	16	59.4	7	2	10.5	1	нет	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1633.00	97000.00	0	Минск9_жм	1	1	0	1331.53
6996	500/D-683805	15.03.2018	2005	10	55.7	2	2	9	1	нет	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1741.47	97000.00	0	Минск9_жм	0	1	0	1357.90
7011	500/D-693724	19.07.2018	2005	17	77.2	16	3		1	нет	до 2.7		да	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1683.94	130000.00	1	Минск9_жм	0	1	1	1352.50
7014	500/D-694646	17.09.2018	2005	10	66.7	10	2	10	2 и более	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	1638.68	109300.00	0	Минск4_жм	0	1	0	1449.58
7035	500/D-723609	11.07.2018	2008	9	110.8	9	4	12.5	2 и более	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Иное	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1669.68	185000.00	1	Минск9_жм	0	1	1	1294.85
7058	500/D-723155	01.11.2018	2006	16	58.9	14	2	8.8	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1511.04	89000.00	1	Минск14_жм	1	1	1	1383.55
7065	500/D-1004317	29.11.2018	2006	20	91.1	18	3	14.3	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1547.75	140999.95	0	Минск9_жм	1	1	0	1326.99
7067	500/D-162396	20.11.2014	1963	5	30.66	5	1	5.74	1	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	1871.93	57393.22	0	Минск2_жм	1	1	0	1819.55
7070	500/D-652257	07.03.2018	2001	10	66.8	8	3	9	1	нет	до 2.7			Централизованное		Централизованное										Сборный железобетон	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1828.50	122143.62	1	Минск5_жм	0	1	1	1304.64
7089	500/D-316484	23.10.2018	1974	9	30.78	8	1	6.9	1	1	до 2.7		нет	Централизованное		Централизованное										Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1510.72	46500.00	0	Минск15_жм	1	1	0	1252.70
7097	500/D-717469	15.10.2018	2006	15	59.3	15	2	8	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1516.02	89900.00	0	Минск13_жм	0	1	0	1246.50
7126	500/D-717470	06.12.2018	2006	15	76.8	15	3	13.3	2 и более	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1562.50	120000.00	0	Минск13_жм	0	1	0	1240.30
7130	500/D-7057903	15.01.2018	2007	18	83.3	17	2	29.6	1	нет	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1656.66	138000.00	0	Минск9_жм	1	1	0	1285.08
